time_ms,task,event
0,Low,released
0,Low,running (remaining=119)
1,Low,running (remaining=118)
2,Low,running (remaining=117)
3,Low,running (remaining=116)
4,Low,running (remaining=115)
5,Low,running (remaining=114)
6,Low,running (remaining=113)
7,Low,running (remaining=112)
8,Low,running (remaining=111)
9,Low,running (remaining=110)
10,Low,acquired mutex
10,Low,running (remaining=109)
11,Low,running (remaining=108)
12,Low,running (remaining=107)
13,Low,running (remaining=106)
14,Low,running (remaining=105)
15,Low,running (remaining=104)
16,Low,running (remaining=103)
17,Low,running (remaining=102)
18,Low,running (remaining=101)
19,Low,running (remaining=100)
20,Med,released
20,Med,running (remaining=49)
21,Med,running (remaining=48)
22,Med,running (remaining=47)
23,Med,running (remaining=46)
24,Med,running (remaining=45)
25,Med,running (remaining=44)
26,Med,running (remaining=43)
27,Med,running (remaining=42)
28,Med,running (remaining=41)
29,Med,running (remaining=40)
30,High,released
30,High,running (remaining=29)
31,High,running (remaining=28)
32,High,running (remaining=27)
33,High,running (remaining=26)
34,High,running (remaining=25)
35,High,running (remaining=24)
36,High,running (remaining=23)
37,High,running (remaining=22)
38,High,running (remaining=21)
39,High,running (remaining=20)
40,High,running (remaining=19)
41,High,running (remaining=18)
42,High,running (remaining=17)
43,High,running (remaining=16)
44,High,running (remaining=15)
45,High,running (remaining=14)
46,High,running (remaining=13)
47,High,running (remaining=12)
48,High,running (remaining=11)
49,High,running (remaining=10)
50,High,running (remaining=9)
51,High,running (remaining=8)
52,High,running (remaining=7)
53,High,running (remaining=6)
54,High,running (remaining=5)
55,High,running (remaining=4)
56,High,running (remaining=3)
57,High,running (remaining=2)
58,High,running (remaining=1)
59,High,running (remaining=0)
59,High,completed job
60,Med,running (remaining=39)
61,Med,running (remaining=38)
62,Med,running (remaining=37)
63,Med,running (remaining=36)
64,Med,running (remaining=35)
65,Med,running (remaining=34)
66,Med,running (remaining=33)
67,Med,running (remaining=32)
68,Med,running (remaining=31)
69,Med,running (remaining=30)
70,Med,running (remaining=29)
71,Med,running (remaining=28)
72,Med,running (remaining=27)
73,Med,running (remaining=26)
74,Med,running (remaining=25)
75,Med,running (remaining=24)
76,Med,running (remaining=23)
77,Med,running (remaining=22)
78,Med,running (remaining=21)
79,Med,running (remaining=20)
80,Med,running (remaining=19)
81,Med,running (remaining=18)
82,Med,running (remaining=17)
83,Med,running (remaining=16)
84,Med,running (remaining=15)
85,Med,running (remaining=14)
86,Med,running (remaining=13)
87,Med,running (remaining=12)
88,Med,running (remaining=11)
89,Med,running (remaining=10)
90,Med,running (remaining=9)
91,Med,running (remaining=8)
92,Med,running (remaining=7)
93,Med,running (remaining=6)
94,Med,running (remaining=5)
95,Med,running (remaining=4)
96,Med,running (remaining=3)
97,Med,running (remaining=2)
98,Med,running (remaining=1)
99,Med,running (remaining=0)
99,Med,completed job
100,Low,running (remaining=99)
101,Low,running (remaining=98)
102,Low,running (remaining=97)
103,Low,running (remaining=96)
104,Low,running (remaining=95)
105,Low,running (remaining=94)
106,Low,running (remaining=93)
107,Low,running (remaining=92)
108,Low,running (remaining=91)
109,Low,running (remaining=90)
110,Low,running (remaining=89)
111,Low,running (remaining=88)
112,Low,running (remaining=87)
113,Low,running (remaining=86)
114,Low,running (remaining=85)
115,Low,running (remaining=84)
116,Low,running (remaining=83)
117,Low,running (remaining=82)
118,Low,running (remaining=81)
119,Low,running (remaining=80)
120,Low,running (remaining=79)
121,Low,running (remaining=78)
122,Low,running (remaining=77)
123,Low,running (remaining=76)
124,Low,running (remaining=75)
125,Low,running (remaining=74)
126,Low,running (remaining=73)
127,Low,running (remaining=72)
128,Low,running (remaining=71)
129,Low,running (remaining=70)
130,Low,running (remaining=69)
131,Low,running (remaining=68)
132,Low,running (remaining=67)
133,Low,running (remaining=66)
134,Low,running (remaining=65)
135,Low,running (remaining=64)
136,Low,running (remaining=63)
137,Low,running (remaining=62)
138,Low,running (remaining=61)
139,Low,running (remaining=60)
140,Low,running (remaining=59)
141,Low,running (remaining=58)
142,Low,running (remaining=57)
143,Low,running (remaining=56)
144,Low,running (remaining=55)
145,Low,running (remaining=54)
146,Low,running (remaining=53)
147,Low,running (remaining=52)
148,Low,running (remaining=51)
149,Low,running (remaining=50)
150,Low,running (remaining=49)
151,Low,running (remaining=48)
152,Low,running (remaining=47)
153,Low,running (remaining=46)
154,Low,running (remaining=45)
155,Low,running (remaining=44)
156,Low,running (remaining=43)
157,Low,running (remaining=42)
158,Low,running (remaining=41)
159,Low,running (remaining=40)
160,Low,running (remaining=39)
161,Low,running (remaining=38)
162,Low,running (remaining=37)
163,Low,running (remaining=36)
164,Low,running (remaining=35)
165,Low,running (remaining=34)
166,Low,running (remaining=33)
167,Low,running (remaining=32)
168,Low,running (remaining=31)
169,Low,running (remaining=30)
170,Low,running (remaining=29)
171,Low,running (remaining=28)
172,Low,running (remaining=27)
173,Low,running (remaining=26)
174,Low,running (remaining=25)
175,Low,running (remaining=24)
176,Low,running (remaining=23)
177,Low,running (remaining=22)
178,Low,running (remaining=21)
179,Low,running (remaining=20)
180,Low,running (remaining=19)
181,Low,running (remaining=18)
182,Low,running (remaining=17)
183,Low,running (remaining=16)
184,Low,running (remaining=15)
185,Low,running (remaining=14)
186,Low,running (remaining=13)
187,Low,running (remaining=12)
188,Low,running (remaining=11)
189,Low,running (remaining=10)
190,Low,running (remaining=9)
191,Low,running (remaining=8)
192,Low,running (remaining=7)
193,Low,running (remaining=6)
194,Low,running (remaining=5)
195,Low,running (remaining=4)
196,Low,running (remaining=3)
197,Low,running (remaining=2)
198,Low,running (remaining=1)
199,Low,running (remaining=0)
199,Low,completed job
