0000 ms: Low released
0000 ms: Low running (remaining=119)
0001 ms: Low running (remaining=118)
0002 ms: Low running (remaining=117)
0003 ms: Low running (remaining=116)
0004 ms: Low running (remaining=115)
0005 ms: Low running (remaining=114)
0006 ms: Low running (remaining=113)
0007 ms: Low running (remaining=112)
0008 ms: Low running (remaining=111)
0009 ms: Low running (remaining=110)
0010 ms: Low acquired mutex
0010 ms: Low running (remaining=109)
0011 ms: Low running (remaining=108)
0012 ms: Low running (remaining=107)
0013 ms: Low running (remaining=106)
0014 ms: Low running (remaining=105)
0015 ms: Low running (remaining=104)
0016 ms: Low running (remaining=103)
0017 ms: Low running (remaining=102)
0018 ms: Low running (remaining=101)
0019 ms: Low running (remaining=100)
0020 ms: Med released
0020 ms: Med running (remaining=49)
0021 ms: Med running (remaining=48)
0022 ms: Med running (remaining=47)
0023 ms: Med running (remaining=46)
0024 ms: Med running (remaining=45)
0025 ms: Med running (remaining=44)
0026 ms: Med running (remaining=43)
0027 ms: Med running (remaining=42)
0028 ms: Med running (remaining=41)
0029 ms: Med running (remaining=40)
0030 ms: High released
0030 ms: High running (remaining=29)
0031 ms: High running (remaining=28)
0032 ms: High running (remaining=27)
0033 ms: High running (remaining=26)
0034 ms: High running (remaining=25)
0035 ms: High running (remaining=24)
0036 ms: High running (remaining=23)
0037 ms: High running (remaining=22)
0038 ms: High running (remaining=21)
0039 ms: High running (remaining=20)
0040 ms: High running (remaining=19)
0041 ms: High running (remaining=18)
0042 ms: High running (remaining=17)
0043 ms: High running (remaining=16)
0044 ms: High running (remaining=15)
0045 ms: High running (remaining=14)
0046 ms: High running (remaining=13)
0047 ms: High running (remaining=12)
0048 ms: High running (remaining=11)
0049 ms: High running (remaining=10)
0050 ms: High running (remaining=9)
0051 ms: High running (remaining=8)
0052 ms: High running (remaining=7)
0053 ms: High running (remaining=6)
0054 ms: High running (remaining=5)
0055 ms: High running (remaining=4)
0056 ms: High running (remaining=3)
0057 ms: High running (remaining=2)
0058 ms: High running (remaining=1)
0059 ms: High running (remaining=0)
0059 ms: High completed job
0060 ms: Med running (remaining=39)
0061 ms: Med running (remaining=38)
0062 ms: Med running (remaining=37)
0063 ms: Med running (remaining=36)
0064 ms: Med running (remaining=35)
0065 ms: Med running (remaining=34)
0066 ms: Med running (remaining=33)
0067 ms: Med running (remaining=32)
0068 ms: Med running (remaining=31)
0069 ms: Med running (remaining=30)
0070 ms: Med running (remaining=29)
0071 ms: Med running (remaining=28)
0072 ms: Med running (remaining=27)
0073 ms: Med running (remaining=26)
0074 ms: Med running (remaining=25)
0075 ms: Med running (remaining=24)
0076 ms: Med running (remaining=23)
0077 ms: Med running (remaining=22)
0078 ms: Med running (remaining=21)
0079 ms: Med running (remaining=20)
0080 ms: Med running (remaining=19)
0081 ms: Med running (remaining=18)
0082 ms: Med running (remaining=17)
0083 ms: Med running (remaining=16)
0084 ms: Med running (remaining=15)
0085 ms: Med running (remaining=14)
0086 ms: Med running (remaining=13)
0087 ms: Med running (remaining=12)
0088 ms: Med running (remaining=11)
0089 ms: Med running (remaining=10)
0090 ms: Med running (remaining=9)
0091 ms: Med running (remaining=8)
0092 ms: Med running (remaining=7)
0093 ms: Med running (remaining=6)
0094 ms: Med running (remaining=5)
0095 ms: Med running (remaining=4)
0096 ms: Med running (remaining=3)
0097 ms: Med running (remaining=2)
0098 ms: Med running (remaining=1)
0099 ms: Med running (remaining=0)
0099 ms: Med completed job
0100 ms: Low running (remaining=99)
0101 ms: Low running (remaining=98)
0102 ms: Low running (remaining=97)
0103 ms: Low running (remaining=96)
0104 ms: Low running (remaining=95)
0105 ms: Low running (remaining=94)
0106 ms: Low running (remaining=93)
0107 ms: Low running (remaining=92)
0108 ms: Low running (remaining=91)
0109 ms: Low running (remaining=90)
0110 ms: Low running (remaining=89)
0111 ms: Low running (remaining=88)
0112 ms: Low running (remaining=87)
0113 ms: Low running (remaining=86)
0114 ms: Low running (remaining=85)
0115 ms: Low running (remaining=84)
0116 ms: Low running (remaining=83)
0117 ms: Low running (remaining=82)
0118 ms: Low running (remaining=81)
0119 ms: Low running (remaining=80)
0120 ms: Low running (remaining=79)
0121 ms: Low running (remaining=78)
0122 ms: Low running (remaining=77)
0123 ms: Low running (remaining=76)
0124 ms: Low running (remaining=75)
0125 ms: Low running (remaining=74)
0126 ms: Low running (remaining=73)
0127 ms: Low running (remaining=72)
0128 ms: Low running (remaining=71)
0129 ms: Low running (remaining=70)
0130 ms: Low running (remaining=69)
0131 ms: Low running (remaining=68)
0132 ms: Low running (remaining=67)
0133 ms: Low running (remaining=66)
0134 ms: Low running (remaining=65)
0135 ms: Low running (remaining=64)
0136 ms: Low running (remaining=63)
0137 ms: Low running (remaining=62)
0138 ms: Low running (remaining=61)
0139 ms: Low running (remaining=60)
0140 ms: Low running (remaining=59)
0141 ms: Low running (remaining=58)
0142 ms: Low running (remaining=57)
0143 ms: Low running (remaining=56)
0144 ms: Low running (remaining=55)
0145 ms: Low running (remaining=54)
0146 ms: Low running (remaining=53)
0147 ms: Low running (remaining=52)
0148 ms: Low running (remaining=51)
0149 ms: Low running (remaining=50)
0150 ms: Low running (remaining=49)
0151 ms: Low running (remaining=48)
0152 ms: Low running (remaining=47)
0153 ms: Low running (remaining=46)
0154 ms: Low running (remaining=45)
0155 ms: Low running (remaining=44)
0156 ms: Low running (remaining=43)
0157 ms: Low running (remaining=42)
0158 ms: Low running (remaining=41)
0159 ms: Low running (remaining=40)
0160 ms: Low running (remaining=39)
0161 ms: Low running (remaining=38)
0162 ms: Low running (remaining=37)
0163 ms: Low running (remaining=36)
0164 ms: Low running (remaining=35)
0165 ms: Low running (remaining=34)
0166 ms: Low running (remaining=33)
0167 ms: Low running (remaining=32)
0168 ms: Low running (remaining=31)
0169 ms: Low running (remaining=30)
0170 ms: Low running (remaining=29)
0171 ms: Low running (remaining=28)
0172 ms: Low running (remaining=27)
0173 ms: Low running (remaining=26)
0174 ms: Low running (remaining=25)
0175 ms: Low running (remaining=24)
0176 ms: Low running (remaining=23)
0177 ms: Low running (remaining=22)
0178 ms: Low running (remaining=21)
0179 ms: Low running (remaining=20)
0180 ms: Low running (remaining=19)
0181 ms: Low running (remaining=18)
0182 ms: Low running (remaining=17)
0183 ms: Low running (remaining=16)
0184 ms: Low running (remaining=15)
0185 ms: Low running (remaining=14)
0186 ms: Low running (remaining=13)
0187 ms: Low running (remaining=12)
0188 ms: Low running (remaining=11)
0189 ms: Low running (remaining=10)
0190 ms: Low running (remaining=9)
0191 ms: Low running (remaining=8)
0192 ms: Low running (remaining=7)
0193 ms: Low running (remaining=6)
0194 ms: Low running (remaining=5)
0195 ms: Low running (remaining=4)
0196 ms: Low running (remaining=3)
0197 ms: Low running (remaining=2)
0198 ms: Low running (remaining=1)
0199 ms: Low running (remaining=0)
0199 ms: Low completed job
